Person,Contribution,Creator_role,Notes
Enrique Anderson Imbert,"""Letras Hispano-Americanas. Pedro Henríquez Ureña y su último libro"" (notas)",AU,
Jorge Luis Borges,"""Dos films"" (2) (notas)",AU,
Julio Irazusta,"""Influencia del espíritu renacentista en el descubrimiento de América""",AU,
Eduardo González Lanuza,"""¿Habrá que suprimir la radio?"" (notas)",AU,
Bernardo Canal Feijóo,"""Letras Hispanoamericanas. Idiomas aborígenes"" (notas)",AU,
Jacques Maritain,"""Con el pueblo de un nuevo humanismo""",AU,
Gregorio Marañón,"""Soledad y libertad""",AU,
Victoria Ocampo,"""Cartas abiertas - José Bergamín, Victoria Ocampo"" (notas)",AU,
Attilio Rossi,"""Maruja Mallo""",AU,
Jorge Luis Borges,"""Letras Alemanas. Una Pedagogía del Odio"" (notas)",AU,
Carlos Alberto Erro,"""Carta a Bernardo Canal Feijóo"" (notas)",AU,
Vicente Huidobro,"""Monumento al mar""",AU,
José Bianco,"""García Lorca en el Odeón"" (notas)",AU,
Bernardo Canal Feijóo,"""Letras Argentinas. Tiempo Lacerado"" (notas)",AU,
Attilio Rossi,"""Dos Surrealists: J. Planas Casas y J. Batlle Planas"" (notas)",AU,
André Bretón,"""Cabezas de tormenta""",AU,
Emile Gouiran,"""Interpretación existencial de la duda cartesiana""",AU,
José Bergamín,"""Cartas abiertas - Victoria Ocampo, José Bergamín (1)"" (notas)",AU,
Victoria Ocampo,"""Cartas abiertas - Victoria Ocampo, José Bergamín (2)"" (notas)",AU,
Victoria Ocampo,"""Carta a Federico García Lorca""",AU,
Victoria Ocampo,"""El proletariado de la mujer según Mounier y según Bergamín"" (notas)",AU,
Jorge Luis Borges,"""Swinburne"" (notas)",AU,
Guillermo de Torre,"""Larra"" (notas)",AU,
A. Rolland de Renéville,"""La hora fuera del tiempo""",AU,
José Luis Romero,"""Sobre el espíritu de facción"" ",AU,
Eduardo Mallea,"""Noche""",AU,
José Babini,"""Los problemas de la ciencia"" (notas)",AU,
Eduardo González Lanuza,"""Mar enlunecido""",AU,
Attilio Rossi,"""IV Salón de Otoño de la Sociedad Argentina de Artistas Plásticos. César López Claro en la Galería Moody"" (notas)",AU,
Emmanuel Mounier,"""La vida privada""",AU,
,"""Orquesta sin batuta"" (notas)",AU,
Victoria Ocampo,"""María de Maeztu""",AU,
Victoria Ocampo,"""Calendario. (Revista de temas del mes) (1)""",AU,
Victoria Ocampo,"""Dejad en paz a las palomas (Un nuevo cine abre sus puertas)"" (notas)",AU,
Jorge Luis Borges,"""H. G. Wells y las parábolas"" (notas)",AU,
Guillermo de Torre,"""Letras Francesas. Una apología de la literatura"" (notas)",AU,
Benjamin Fondane,"""El poeta y la esquizofrenia. La conciencia vergonzosa""",AU,
Julio Irazusta,"""Reflexiones de traductor: La última novela de Huxley"" (notas)",AU,
Jorge Santayana,"""El último puritano""",AU,
María Rosa Oliver,"""La Kermese Heroica""",AU,
Attilio Rossi,"""V Salón de Arte de La Plata. II. Salón de Artistas Decoradores (con 4 láminas de grabados fuera del texto)"" (notas)",AU,
José Babini,"""Lógica, logística, logomaquia"" (notas)",AU,
Aníbal Sánchez Reulet,"""Reflexiones sobre el aburrimiento""",AU,
Federico García Lorca,"""Poemas postumos"" ",AU,
Guglielmo Ferrero,"""La libertad del espíritu y los poderes sin freno"" (notas)",AU,
Wadim Strachkof,"""Pushkin"" (notas)",AU,
Victoria Ocampo,"""Calendario. (Revista de temas del mes) (2)""",AU,
Victoria Ocampo,"""Virginia Woolf, Orlando y Cía""",AU,
Victoria Ocampo,"""Viaje Olvidado"" (notas)",AU,
Jorge Luis Borges,"""La Fuga"" (notas)",AU,
Jacques Maritain," ""Sobre la guerra santa""",AU,
James Joyce,"""Una escena de 'Desterrados'""",AU,
Rafael Pividal,"""Católicos fascistas y católicos personalistas""",AU,
,"""Posición de SUR""",AU,
Victoria Ocampo,"""Calendario. (Revista de temas del mes) (3)""",AU,
Conde de Keyserling,"""Un capítulo de mis Memorias - Rudolf Kassner""",AU,
Jaime Torres Bodet,"""Antonio Arnoux""",AU,
Antonio Marichalar,"""Cordura y conocimiento. En el tricentenario del 'Discurso del Método'""",AU,
Paul Eluard,"""Aquí, a un culpable""",AU,
Tomás Garcés,"""Letras Españolas: Unamuno y Maragall""",AU,
